cause_code,level3_name,total,0
05-06-00,Causes specific to infancy: Neonatal sepsis,118,118
05-00-00,Causes specific to infancy: Unspecifiable,103,103
05-05-00,Causes specific to infancy: Birth injury/asphyxia,87,87
05-03-00,Causes specific to infancy: Prematurity/low birth weight,62,62
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,53,53
05-08-00,Causes specific to infancy: Sudden infant death syndrome,41,41
02-04-00,Direct maternal cause: Obstructed labour,36,36
04-09-00,External cause: Choking,27,27
01-01-01,Communicable disease: Acute febrile illness: Malaria,14,14
05-99-00,Causes specific to infancy: Other specific unlisted,13,13
00-02-00,Unspecifiable: Specific information missing on VAQ,12,12
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,8,8
00-03-00,Unspecifiable: No significant pathology that would explain the death,7,7
05-04-00,Causes specific to infancy: Congenital abnormality,5,5
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,5,5
01-04-02,Communicable disease: TB/AIDS: AIDS,3,3
04-99-00,External cause: Other specific unlisted,3,3
01-01-06,Communicable disease: Acute febrile illness: Sepsis,2,2
02-02-00,Direct maternal cause: Eclampsia,2,2
05-02-00,Causes specific to infancy: Stillbirth,2,2
03-02-00,Non communicable disease: Respiratory disorder: Unspecifiable,2,2
01-05-00,Communicable disease: Diarrhoeal disease without fever,1,1
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,1,1
01-01-02,Communicable disease: Acute febrile illness: Menigitis,1,1
00-01-00,Unspecifiable: No information (VAQ not available),1,1
04-08-00,External cause: Hanging,1,1
04-05-00,External cause: Poisoning/exposure to noxious substance,1,1
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,1,1
05-09-00,Causes specific to infancy: Neonatal tetanus,1,1
