cause_code,level3_name,total,0
05-05-00,Causes specific to infancy: Birth injury/asphyxia,163,163
05-03-00,Causes specific to infancy: Prematurity/low birth weight,137,137
05-06-00,Causes specific to infancy: Neonatal sepsis,89,89
02-04-00,Direct maternal cause: Obstructed labour,33,33
05-04-00,Causes specific to infancy: Congenital abnormality,16,16
01-01-04,Communicable disease: Acute febrile illness: Pneumonia,14,14
05-99-00,Causes specific to infancy: Other specific unlisted,8,8
05-08-00,Causes specific to infancy: Sudden infant death syndrome,5,5
03-09-01,Non communicable disease: Nutritional disorder: Malnutrition,3,3
01-01-06,Communicable disease: Acute febrile illness: Sepsis,3,3
00-02-00,Unspecifiable: Specific information missing on VAQ,3,3
05-00-00,Causes specific to infancy: Unspecifiable,3,3
04-99-00,External cause: Other specific unlisted,2,2
02-05-00,Direct maternal cause: Puerperal sepsis,2,2
01-01-01,Communicable disease: Acute febrile illness: Malaria,2,2
01-01-00,Communicable disease: Acute febrile illness: Unspecifiable,2,2
01-01-99,Communicable disease: Acute febrile illness: Other specific unlisted,2,2
01-01-02,Communicable disease: Acute febrile illness: Menigitis,1,1
01-05-00,Communicable disease: Diarrhoeal disease without fever,1,1
02-03-00,Direct maternal cause: Ante postpartum haemorrhage,1,1
02-02-00,Direct maternal cause: Eclampsia,1,1
01-99-00,Communicable disease: Other specific unlisted,1,1
03-07-99,Non communicable disease: Genito urinary disorders: Other specific unlisted,1,1
04-09-00,External cause: Choking,1,1
04-06-00,External cause: Use of weapon,1,1
03-03-03,Non communicable disease: Gastro intestinal disorder: Acute abdomen including obstruction,1,1
05-09-00,Causes specific to infancy: Neonatal tetanus,1,1
